resume_id,job_id,relevance_label,notes,labeler,split
r_da_junior,1,0,Role-family and seniority rubric.,author-v1,validation
r_da_junior,2,0,Role-family and seniority rubric.,author-v1,validation
r_da_junior,3,3,Role-family and seniority rubric.,author-v1,validation
r_da_junior,4,0,Role-family and seniority rubric.,author-v1,validation
r_da_junior,5,0,Role-family and seniority rubric.,author-v1,validation
r_da_junior,6,0,Role-family and seniority rubric.,author-v1,validation
r_da_junior,7,0,Role-family and seniority rubric.,author-v1,validation
r_da_junior,8,0,Role-family and seniority rubric.,author-v1,validation
r_da_junior,9,2,"Internship is below junior, but same analyst family.",author-v1,validation
r_da_junior,10,1,Role-family and seniority rubric.,author-v1,validation
r_da_junior,11,2,Role-family and seniority rubric.,author-v1,validation
r_da_junior,12,0,Role-family and seniority rubric.,author-v1,validation
r_da_junior,13,0,Role-family and seniority rubric.,author-v1,validation
r_da_junior,14,0,Role-family and seniority rubric.,author-v1,validation
r_da_junior,15,0,Clinical admin posting; Python/SQL mention is incidental.,author-v1,validation
r_da_junior,16,0,Role-family and seniority rubric.,author-v1,validation
r_da_junior,17,0,Role-family and seniority rubric.,author-v1,validation
r_da_junior,18,0,Role-family and seniority rubric.,author-v1,validation
r_da_junior,19,0,Role-family and seniority rubric.,author-v1,validation
r_da_junior,20,0,Role-family and seniority rubric.,author-v1,validation
r_da_junior,21,2,Role-family and seniority rubric.,author-v1,validation
r_da_junior,22,0,Role-family and seniority rubric.,author-v1,validation
r_da_junior,23,0,Role-family and seniority rubric.,author-v1,validation
r_da_junior,24,0,Role-family and seniority rubric.,author-v1,validation
r_da_junior,25,0,Role-family and seniority rubric.,author-v1,validation
r_da_junior,26,0,Role-family and seniority rubric.,author-v1,validation
r_da_junior,27,0,Role-family and seniority rubric.,author-v1,validation
r_da_junior,28,0,Role-family and seniority rubric.,author-v1,validation
r_da_junior,29,0,Role-family and seniority rubric.,author-v1,validation
r_da_junior,30,0,Role-family and seniority rubric.,author-v1,validation
r_da_junior,31,0,Role-family and seniority rubric.,author-v1,validation
r_da_junior,32,0,Role-family and seniority rubric.,author-v1,validation
r_ds_mid,1,0,Role-family and seniority rubric.,author-v1,validation
r_ds_mid,2,0,Role-family and seniority rubric.,author-v1,validation
r_ds_mid,3,0,Role-family and seniority rubric.,author-v1,validation
r_ds_mid,4,3,Role-family and seniority rubric.,author-v1,validation
r_ds_mid,5,2,Role-family and seniority rubric.,author-v1,validation
r_ds_mid,6,0,Role-family and seniority rubric.,author-v1,validation
r_ds_mid,7,0,Role-family and seniority rubric.,author-v1,validation
r_ds_mid,8,0,Role-family and seniority rubric.,author-v1,validation
r_ds_mid,9,0,Role-family and seniority rubric.,author-v1,validation
r_ds_mid,10,0,Role-family and seniority rubric.,author-v1,validation
r_ds_mid,11,0,Role-family and seniority rubric.,author-v1,validation
r_ds_mid,12,2,Research scientist is adjacent; mid DS can be qualified with gaps.,author-v1,validation
r_ds_mid,13,2,Role-family and seniority rubric.,author-v1,validation
r_ds_mid,14,0,Role-family and seniority rubric.,author-v1,validation
r_ds_mid,15,0,Clinical admin posting; lexical bait.,author-v1,validation
r_ds_mid,16,0,Role-family and seniority rubric.,author-v1,validation
r_ds_mid,17,0,Role-family and seniority rubric.,author-v1,validation
r_ds_mid,18,0,Role-family and seniority rubric.,author-v1,validation
r_ds_mid,19,2,Role-family and seniority rubric.,author-v1,validation
r_ds_mid,20,0,Role-family and seniority rubric.,author-v1,validation
r_ds_mid,21,0,Role-family and seniority rubric.,author-v1,validation
r_ds_mid,22,0,Role-family and seniority rubric.,author-v1,validation
r_ds_mid,23,0,Role-family and seniority rubric.,author-v1,validation
r_ds_mid,24,1,Role-family and seniority rubric.,author-v1,validation
r_ds_mid,25,0,Role-family and seniority rubric.,author-v1,validation
r_ds_mid,26,0,Role-family and seniority rubric.,author-v1,validation
r_ds_mid,27,3,Role-family and seniority rubric.,author-v1,validation
r_ds_mid,28,0,Role-family and seniority rubric.,author-v1,validation
r_ds_mid,29,0,Role-family and seniority rubric.,author-v1,validation
r_ds_mid,30,2,Role-family and seniority rubric.,author-v1,validation
r_ds_mid,31,0,Role-family and seniority rubric.,author-v1,validation
r_ds_mid,32,0,Role-family and seniority rubric.,author-v1,validation
r_de_senior,1,2,Role-family and seniority rubric.,author-v1,validation
r_de_senior,2,3,Role-family and seniority rubric.,author-v1,validation
r_de_senior,3,0,Role-family and seniority rubric.,author-v1,validation
r_de_senior,4,0,Role-family and seniority rubric.,author-v1,validation
r_de_senior,5,0,Role-family and seniority rubric.,author-v1,validation
r_de_senior,6,0,Role-family and seniority rubric.,author-v1,validation
